DateTime,"Melter Gas Flow Valve Opening  _DB885,DD670,QC","Header Gas Pressure -Gail_DB1367,DD0,QC","ThermoCouple Flue Pass left Inner _DB872,DD0,QC","ThermoCouple Flue Pass left outer _DB874,DD0,QC","ThermoCouple Flue Pass Right Inner _DB876,DD0,QC","ThermoCouple Flue Pass Right outer _DB879,DD0,QC","Glass level_DB1177,DD0,QC","Fibber Optic Thermometer -Distributer-zone -2_DB719,DD134,QC","Fibber Optic Thermometer -Distributer-zone -6_DB731,DD134,QC","High Pressure M/C-61_DB668,DD134,QC","High Pressure M/C-65_DB691,DD134,QC","ThermoCouple Regenratore Right_DB868,DD0,QC","ThermoCouple melter bottom -2_DB858,DD0,QC","Melter Gas Flow Setpoint _DB885,DD726,QC","Fiber Optic Thermometer -F/H65- Middle_DB189,DD134,QC","ThermoCouple melter Crown -1_DB845,DD0,QC","Throat cooling blower Pressure _DB837,DD134,QC",chem_comp_SiO2,chem_comp_Al2O3,chem_comp_Fe2O3,chem_comp_CaO,chem_comp_MgO,chem_comp_Na2O,chem_comp_K2O,chem_comp_SO3,physical_test_density_gm_cc,physical_test_seed_count_result,,"Melter Gas flow_DB885,DD134,QC"
14:57.4,47.29742432,1.916449666,205.8000031,178.8000031,389.3000183,436.7000122,0.01620388,1330.555542,1370.847778,40.85286713,39.93489838,1336,1258.300049,810,1256.987793,1478.400024,251.0941162,70.5,2.08,0.019,8.38,1.93,13.63,1.08,0.233,2.506,11,,810.546875
27:57.4,46.44392014,1.903211832,158.5,248.4000092,437.2000122,454.3999939,0.035301208,1330.367432,1370.732056,41.03516006,39.92838669,1336.599976,1258.599976,810,1257.421875,1475.400024,249.014389,70.2,2.12,0.019,8.41,1.99,13.65,1.1,0.237,2.5045,11,,814.670166
40:57.4,45.81528091,1.916666627,451.3999939,561.5,190.6000061,184.3000031,0.039351463,1329.918945,1370.572876,40.97005463,39.73524475,1303.700073,1258.800049,810,1257.436279,1479,249.8553162,70.42,2.05,0.02,8.35,1.96,13.66,1.07,0.23,2.5046,11,,810.763916
52:57.4,47.94485855,1.905381918,278.2000122,251.9000092,315.8000183,360.3000183,0.039351463,1329.542847,1370.298096,40.88324738,39.79600906,1323.599976,1259.099976,820,1257.146973,1472.700073,249.2133179,70.36,2.05,0.02,8.45,1.9,13.7,1.09,0.234,2.5056,13,,821.7231445
05:57.4,47.53482056,1.913194418,117.7000046,112,474.3000183,505.2000122,0,1329.586182,1370.399292,40.92013931,40.34505463,1343.900024,1259.200073,820,1256.987793,1470.800049,248.8335419,70.3,2.04,0.019,8.43,1.93,13.72,1.08,0.236,2.5061,11,,824.1102905
18:57.4,46.71525955,1.916232705,423.1000061,551.7000122,232.1000061,225.1000061,-0.019675732,1329.817627,1370.355957,41.07638931,39.99349213,1307.099976,1259.5,820,1256.929932,1474.5,249.2133179,70.17,2.04,0.018,8.54,1.9,13.73,1.1,0.238,2.5049,10,,818.5221558
31:57.4,48.00917053,1.909071207,354.2000122,348.8999939,235,259.6000061,0.066551208,1330.295166,1370.47168,41.10243225,40.28646088,1314.099976,1259.400024,820,1256.87207,1477.599976,250.5063629,70.31,1.98,0.018,8.49,1.89,13.74,1.09,0.244,2.5052,15,,821.0178223
41:57.4,47.22181702,1.908637166,159,137.8000031,436.5,477.7000122,0.004051208,1330.454346,1370.341431,40.83116531,39.90885544,1337.700073,1259.300049,820,1256.785278,1473.700073,248.1282501,70.04,1.98,0.019,8.64,1.91,13.78,1.1,0.234,2.5053,11,,824.869812
54:57.4,46.36917877,1.908203125,310.6000061,488.5,332.3999939,331.6000061,0,1330.295166,1370.370361,40.90929031,39.76779556,1317.900024,1259.099976,820,1256.712891,1473.900024,249.4484253,70.4,2.08,0.018,8.35,2,13.68,1.04,0.251,2.505,15,,816.5690308
07:57.4,45.6319313,1.913845539,467.3000183,566.7999878,160.1000061,154.6999969,0.039351463,1329.87561,1370.370361,40.99175644,40.15408325,1298.300049,1259.300049,810,1256.814209,1480.900024,250.226059,70.53,2.06,0.016,8.28,2.02,13.63,1.05,0.246,2.5027,12,,811.6862183
20:57.4,47.0404892,1.910590291,190.5,164.3000031,407.2000122,453.8000183,0.059027672,1329.629639,1370.370361,41.1219635,39.978302,1332.700073,1259.400024,810,1257.146973,1471.400024,250.9223022,70.46,2.08,0.015,8.18,2.06,13.71,1.06,0.246,2.5048,12,,810.8181763
33:57.4,46.38260651,1.907986164,212,360.5,402.8999939,412.5,0.144097328,1329.774292,1370.630737,40.73567963,39.85026169,1325,1259.300049,820,1257.421875,1467.900024,249.2585297,70.48,2.04,0.016,8.31,2.05,13.75,1.05,0.247,2.5048,13,,823.784729
46:57.4,46.54608154,1.915581584,458.3999939,563.5,180.4000092,174.4000092,0.039351463,1330.049194,1370.601807,41.04600906,39.93489838,1299,1259.300049,820,1257.407471,1476.400024,250.280304,70.64,2.02,0.015,8.17,2.06,13.68,1.04,0.238,2.5049,9,,818.0881348
59:57.4,47.69741058,1.913411498,231.9000092,201.9000092,364.3999939,412.8999939,0.054976463,1330.266235,1370.543945,41.13064575,40.19965363,1326.099976,1259.300049,820,1256.828735,1471.599976,251.039856,70.51,2.07,0.015,8.09,2.08,13.69,1.07,0.239,2.505,15,,822.482666
24:57.4,47.22565842,1.91796875,202.4000092,175.1000061,396,443.8999939,0.035301208,1330.454346,1370.90564,41.13932419,40.05208588,1330.800049,1259.400024,815,1256.597168,1475.900024,250.7414703,70.61,2.1,0.015,8.4,1.87,13.32,1.07,0.247,2.5031,8,,816.2435303
37:57.4,46.76299286,1.916883707,173.6000061,283.5,429.8999939,445.5,0.127893448,1330.295166,1371.021362,41.00043488,39.95877075,1330.099976,1259.300049,815,1256.423584,1471.800049,250.813797,70.65,2.1,0.014,8.46,1.9,13.26,1.08,0.231,2.5094,13,,815.4839478
03:57.4,47.8866272,1.906901002,248.8000031,219.1999969,348.7000122,396.6000061,-0.011573792,1329.644043,1370.90564,40.84635544,39.7938385,1326.400024,1259.700073,815,1257.103516,1471.700073,248.9420624,70.8,2.01,0.011,8.57,1.73,13.33,1.01,0.239,2.5052,15,,818.6849365
15:57.4,47.89266205,1.913845539,117,111.3000031,475.8999939,507.2000122,0.008101463,1329.774292,1371.064819,40.64887238,39.61588669,1344,1259.800049,815,1257.262695,1471.599976,249.2856598,70.53,2.1,0.0115,8.65,1.7,13.33,1.06,0.243,2.5062,11,,817.4370728
26:57.4,47.11985397,1.915364623,401.8999939,545.7999878,256.3999939,250.8000031,0.071180344,1330.078125,1371.166016,41.28038406,40.27344131,1309,1260,825,1257.392944,1476.5,250.2170105,70.49,2.09,0.012,8.64,1.68,13.35,1.09,0.236,2.5084,10,,828.4505615
